Country,Title,URL
Morocco,Kings,https://en.wikipedia.org/wiki/List_of_kings_of_Morocco
United Arab Emirates,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_Arab_Emirates
Qatar,Emirs,https://en.wikipedia.org/wiki/List_of_emirs_of_Qatar
Kuwait,Emirs,https://en.wikipedia.org/wiki/List_of_emirs_of_Kuwait
South Africa,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_South_Africa
Nigeria,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Nigeria
Kenya,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Kenya
Egypt,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Egypt
Ethiopia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Ethiopia
Ghana,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Ghana
Zimbabwe,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Zimbabwe
Zambia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Zambia
Uganda,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Uganda
Tanzania,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Tanzania
Angola,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Angola
Mozambique,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Mozambique
Namibia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Namibia
Botswana,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Botswana
Madagascar,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Madagascar
Algeria,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Algeria
Tunisia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Tunisia
Libya,Leaders,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Libya
Sudan,Presidents,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Sudan
Cameroon,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Cameroon
Ivory Coast,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Ivory_Coast
Senegal,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Senegal
